Date;Home Team;Away Team;Result Home Team;Result Away Team;Result Home Team Penalties;Result Away Team Penalties
15/08/2024 21:00;Germany;Scotland;5;1;;
15/08/2024 15:00;Hungary;Switzerland;1;3;;
15/08/2024 18:00;Spain;Croatia;3;0;;
15/08/2024 21:00;Italy;Albania;2;1;;
16/08/2024 15:00;Poland;Netherlands;1;2;;
16/08/2024 18:00;Slovenia;Denmark;1;1;;
16/08/2024 21:00;Serbia;England;0;1;;
17/08/2024 15:00;Romania;Ukraine;3;0;;
17/08/2024 18:00;Belgium;Slovakia;0;1;;
17/08/2024 21:00;Austria;France;0;1;;
18/08/2024 18:00;Türkiye;Georgia;3;1;;
18/08/2024 21:00;Portugal;Czechia;2;1;;
19/08/2024 15:00;Croatia;Albania;2;2;;
19/08/2024 18:00;Germany;Hungary;2;0;;
19/08/2024 21:00;Scotland;Switzerland;1;1;;
20/08/2024 15:00;Slovenia;Serbia;1;1;;
20/08/2024 18:00;Denmark;England;1;1;;
20/08/2024 21:00;Spain;Italy;1;0;;
21/08/2024 15:00;Slovakia;Ukraine;1;2;;
21/08/2024 18:00;Poland;Austria;1;3;;
21/08/2024 21:00;Netherlands;France;0;0;;
22/08/2024 15:00;Georgia;Czechia;1;1;;
22/08/2024 18:00;Türkiye;Portugal;0;3;;
22/08/2024 21:00;Belgium;Romania;2;0;;
23/08/2024 21:00;Switzerland;Germany;1;1;;
23/08/2024 21:00;Scotland;Hungary;0;1;;
24/08/2024 21:00;Albania;Spain;0;1;;
24/08/2024 21:00;Croatia;Italy;1;1;;
25/08/2024 18:00;Netherlands;Austria;2;3;;
25/08/2024 18:00;France;Poland;1;1;;
25/08/2024 21:00;England;Slovenia;0;0;;
25/08/2024 21:00;Denmark;Serbia;0;0;;
26/08/2024 18:00;Slovakia;Romania;1;1;;
26/08/2024 18:00;Ukraine;Belgium;0;0;;
26/08/2024 21:00;Georgia;Portugal;2;0;;
26/08/2024 21:00;Czechia;Türkiye;1;2;;
29/08/2024 18:00;Switzerland;Italy;2;0;;
29/08/2024 21:00;Germany;Denmark;2;0;;
30/08/2024 18:00;England;Slovakia;2;1;;
30/08/2024 21:00;Spain;Georgia;4;1;;
01/09/2024 18:00;France;Belgium;1;0;;
01/09/2024 21:00;Portugal;Slovenia;0;0;3;0
02/09/2024 18:00;Romania;Netherlands;0;3;;
02/09/2024 21:00;Austria;Türkiye;1;2;;
05/09/2024 18:00;Spain;Germany;2;1;;
05/09/2024 21:00;Portugal;France;0;0;3;5
06/09/2024 18:00;England;Switzerland;1;1;5;3
06/09/2024 21:00;Netherlands;Türkiye;2;1;;
09/09/2024 21:00;Spain;France;2;1;;
10/09/2024 21:00;Netherlands;England;1;2;;
14/09/2024 21:00;Spain;England;2;1;;
